Zipcode,region,descripiton,images,NumOfHospitals,ListOfHospitals,NumOfCinemas,ListOfCinemas
78701,Central Austin,,,1,Dell Seton Medical Center at The University of Texas,3,"Alamo Drafthouse Ritz, Violet Crown Cinema, Bullock Museum IMAX Theatre"
78702,East Austin,"An community on the up and up, Austin's east side plays host to such cultural areas as East 6th, East Caesar Chavez, and East 11th",,0,,0,
78703,Central Austin,"This area just west of downtown is home to areas such as Tarrytown, Shoal Creek, and Pemberton Heights, and provides easy access to the amenities of downtown Austin",,0,,0,
78704,Central Austin,"Just south of downtwon Austin, this area includes South Congress and Barton Hills, among other iconic Austin neighborhoods",,1,St. David's South Austin Medical Center,2,"Alamo Drafthouse South Lamar, Millenium Theater"
78705,Central Austin,,,2,"St. David's Medical Center, Seton Main Hospital",1,Alamo Drafthouse Village
78712,Central Austin,,,0,,0,
78717,Northwest Austin,,,0,,1,Alamo Drafthouse Lakeline
78719,Southeast Austin,,,0,,0,
78721,East Austin,,,0,,0,
78722,East Austin,,,0,,0,
78723,East Austin,This northeast Austin development is home to the new Mueller developments as well as Windsor Park and Cherrylawn,,1,Dell Children's Medical Center of Central Texas,1,Alamo Drafthouse Mueller
78724,East Austin,,,0,,0,
78725,East Austin,,,0,,0,
78726,Northwest Austin,,,0,,1,Moviehouse & Eatery Trails at 620
78727,North Austin,,,0,,0,
78728,North Austin,,,0,,0,
78729,North Austin,,,0,,0,
78730,West Austin,,,0,,0,
78731,West Austin,"This area, adjacent to Hyde Park, is home to Allandale, Rosedale, and Balcones Park",,1,Northwest Hills Surgical Hospital,0,
78732,West Austin,,,0,,0,
78733,West Austin,,,0,,0,
78734,West Austin,,,0,,0,
78735,Southwest Austin,,,0,,1,Moviehouse & Eatery Austin - Lantana Place
78736,Southwest Austin,,,0,,0,
78737,Southwest Austin,,,1,Seton Southwest Hospital ,1,Sky Cinemas Dripping Springs
78738,West Austin,"Just south of the start of Lake Austin, this neighborhood is home to golf courses, custom homes, and hill country vistas",,1,Baylor Scott & White Medical Center Lakeway,1,Cinemark Hill Country Galleria
78739,South Austin,,,0,,0,
78741,Southeast Austin,,,0,,0,
78742,Southeast Austin,,,0,,0,
78744,Southeast Austin,,,0,,0,
78745,South Austin,"This area which includes the Sunset Valley neighborhood, offers close proximity to many of Austin's popular activities",,0,,2,"Regal Westgate Stadium 11, Regal Metropolitan Stadium 14"
78746,West Austin,"This area west of Lake Austin includes Rollingwood, Westlake Hills, Stratford, and Davenport Ranch",,1,The Hospital at Westlake Medical Center,1,AMC Barton Creek Square 14
78747,Southeast Austin,,,0,,0,
78748,South Austin,"Just west of I-35, this neighborhood offers a myriad of housing styles, prices, and sizes in neighborhoods such as Manchaca Gardens, Southland Oaks, and Shady Hollow",,0,,1,Cinemark Southpark Meadows
78749,Southwest Austin,"This neighborhood with its varying housing styles, is home to communities such as Western Oaks, Oak Park, and Circle C Ranch",,0,,1,Alamo Drafthouse Slaughter Lane
78750,Northwest Austin,"Found in northwest Travis County, this zip code includes suburban developments, golf course neighborhoods, and developments such as Anderson Mill and Lakewood Park",,0,,1,Southwest Theaters Lake Creek Discount Theater
78751,North Austin,,,0,,0,
78752,North Austin,,,0,,2,"AFS Cinema, Galaxy Highland 10"
78753,North Austin,,,0,,0,
78754,Northeast Austin,,,0,,0,
78756,North Austin,,,1,Heart Hospital Austin,0,
78757,North Austin,This zip code plays host to shady suburban areas as well as ranch houses and quick access to MoPac and Highway 83,,0,,0,
78758,North Austin,,,1,St David's North Austin Medical Center,0,
78759,Northwest Austin,"This northwest neighborhood includes The Domain, The Arboretum, and other popular Austin attractions",,1,Seton Northwest Hospital,2,"Regal Gateway Stadium 16 & IMAX, Regal Arbor 8 @ Great Hills"
78610,South Austin,,,0,,0,
78612,Southeast Austin,,,0,,0,
78613,Northwest Austin,,,1,Ceder Park Regional Medical Center,1,AMC Lakeline 9
78617,Southeast Austin,,,0,,0,
78619,Southwest Austin,,,0,,0,
78620,Southwest Austin,,,0,,0,
78626,North Austin,,,0,,0,
78628,North Austin,,,0,,0,
78634,Northeast Austin,,,0,,0,
78640,South Austin,,,0,,0,
78641,Northwest Austin,,,0,,0,
78642,Northwest Austin,,,0,,0,
78645,Northwest Austin,,,0,,0,
78652,South Austin,,,0,,0,
78653,East Austin,,,0,,0,
78654,West Austin,,,0,,0,
78660,Northeast Austin,,,0,,1,Cinemark 20 and XD
78664,North Austin,,,0,,0,
78665,North Austin,,,1,Baylor Scott & White Medical Center at Round Rock,0,
78669,West Austin,,,0,,0,
78681,North Austin,,,0,,0,
